id,from,to,value,type,color
192.168.7.234,,192.168.7.3,laptop-1,general purpose,
192.168.7.231,,192.168.7.3,laptop-2,general purpose,
192.168.7.106,,192.168.7.3,laptop-3,general purpose,
192.168.7.86,,192.168.7.3,laptop-4,general purpose,
192.168.7.85,,192.168.7.3,laptop-5,VoIP phone,
192.168.7.84,,192.168.7.3,laptop-6,,
192.168.7.80,,192.168.7.3,laptop-7,,
192.168.7.79,,192.168.7.3,laptop-8,general purpose,
192.168.7.71,,192.168.7.3,laptop-9,phone,
Zach,,192.168.7.3,user,user-injured,
192.168.7.68,,192.168.7.3,printer-1,docker,
192.168.7.54,,192.168.7.3,printer-2,WAP,
192.168.7.51,,192.168.7.3,aws-1,general purpose,
192.168.7.50,,192.168.7.3,aws-2,,
192.168.7.49,,192.168.7.3,host-1,WAP,
192.168.7.37,,192.168.7.3,host-2,,
192.168.7.36,,192.168.7.3,host-3,,
192.168.7.33,,192.168.7.3,host-4,phone,
192.168.7.29,,192.168.7.3,host-5,,
192.168.7.28,,192.168.7.3,host-6,phone,
192.168.7.24,,192.168.7.3,host-7,general purpose,
192.168.7.23,,192.168.7.3,host-8,phone,
192.168.7.20,,192.168.7.3,host-9,phone,
192.168.7.16,,192.168.7.3,host-10,specialized,
192.168.7.15,,192.168.7.3,host-11,WAP,
192.168.7.10,,192.168.7.3,server-1,server,
192.168.7.3,,192.168.7.2,server-2,server,
192.168.7.2,,192.168.7.1,cicso-switch,firewall,
192.168.7.1,,,cisco-asa,firewall,
